RK,PLAYER,TEAM,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
1,"Mathew Barzal, C",NYI,68,18,51,69,4,24,1.01,146,12.3,3,4,16,0,0
2,"Brock Boeser, RW",VAN,62,29,26,55,-5,16,0.89,179,16.2,4,10,13,0,0
3,"Yanni Gourde, LW",TB,68,24,29,53,29,42,0.78,117,20.5,5,7,4,1,1
4,"Clayton Keller, C",ARI,66,18,30,48,-10,22,0.73,162,11.1,3,6,9,0,1
5,"Nico Hischier, C",NJ,68,14,29,43,7,20,0.63,148,9.5,2,1,5,0,0
6,"Kyle Connor, LW",WPG,61,22,19,41,0,16,0.67,148,14.9,3,5,3,0,0
,"Alex DeBrincat, RW",CHI,68,22,19,41,4,6,0.6,152,14.5,1,5,5,0,0
8,"Danton Heinen, LW",BOS,60,12,27,39,10,10,0.65,106,11.3,3,1,10,1,0
9,"Pierre-Luc Dubois, LW",CBJ,68,15,22,37,6,33,0.54,138,10.9,2,4,8,0,0
10,"Alexander Kerfoot, C",COL,64,15,21,36,-6,28,0.56,66,22.7,0,3,11,0,0
11,"Jake DeBrusk, LW",BOS,61,14,21,35,12,19,0.57,123,11.4,4,2,4,0,0
,"Jesper Bratt, LW",NJ,66,13,22,35,-13,18,0.53,91,14.3,2,4,8,1,1
13,"Mikhail Sergachev, D",TB,66,8,25,33,11,34,0.5,122,6.6,5,2,11,0,0
,"Will Butcher, D",NJ,67,2,31,33,1,4,0.49,78,2.6,0,0,16,0,0
15,"Charlie McAvoy, D",BOS,59,7,25,32,26,49,0.54,71,9.9,2,2,5,0,0
16,"Adrian Kempe, RW",LA,66,16,15,31,12,45,0.47,98,16.3,3,1,3,0,0
17,"Christian Fischer, RW",ARI,63,13,17,30,-18,14,0.48,130,10,3,5,3,0,0
,"Alex Tuch, RW",VGS,63,13,17,30,4,23,0.48,141,9.2,4,2,5,0,0
19,"Alex Iafallo, C",LA,65,9,15,24,9,10,0.37,119,7.6,1,0,2,0,0
,"Charles Hudon, LW",MTL,60,8,16,24,-6,22,0.4,160,5,1,3,4,0,0
