Player,Tm,Salary,Cap Hit
Jonathan Toews,CHI,13800000,10500000
Patrick Kane,CHI,13800000,10500000
Anze Kopitar,LA,13000000,10000000
Jamie Benn,DAL,13000000,9500000
Shea Weber,MTL,12000000,7857143
P.K. Subban,NSH,11000000,9000000
Sidney Crosby,PIT,10900000,8700000
Evgeny Kuznetsov,WSH,10000000,7800000
Corey Perry,ANA,10000000,8625000
Alex Ovechkin,WSH,10000000,9538462
Jakub Voracek,PHI,10000000,8250000
Brent Burns,SJ,10000000,8000000
Steven Stamkos,TB,9500000,8500000
Evgeni Malkin,PIT,9500000,9500000
Mikko Koivu,MIN,9180000,6750000
Ryan Getzlaf,ANA,9025000,8250000
Leon Draisaitl,EDM,9000000,8500000
Aaron Ekblad,FLA,9000000,7500000
Brent Seabrook,CHI,9000000,6875000
Ryan Suter,MIN,9000000,7538462
Zach Parise,MIN,9000000,7538462
Henrik Lundqvist,NYR,9000000,8500000
Claude Giroux,PHI,9000000,8275000
Ryan O'Reilly,BUF,9000000,7500000
Patrice Bergeron,BOS,8750000,6875000
Patrick Marleau,TOR,8500000,6250000
Milan Lucic,EDM,8000000,6000000
Brad Marchand,BOS,8000000,6125000
David Pastrnak,BOS,8000000,6666666
Loui Eriksson,VAN,8000000,6000000
Joe Thornton,SJ,8000000,8000000
Ryan Johansen,NSH,8000000,8000000
Victor Hedman,TB,8000000,7875000
Dustin Byfuglien,WPG,8000000,7600000
Kyle Okposo,BUF,8000000,6000000
Kevin Shattenkirk,NYR,8000000,6650000
Alexander Radulov,DAL,8000000,6250000
David Backes,BOS,8000000,6000000
T.J. Oshie,WSH,8000000,5750000
Phil Kessel,PIT,7650000,6800000
Drew Doughty,LA,7600000,7000000
Keith Yandle,FLA,7500000,6350000
Jason Spezza,DAL,7500000,7500000
Nicklas Backstrom,WSH,7500000,6700000
Andrew Ladd,NYI,7500000,5500000
David Krejci,BOS,7500000,7250000
Tuukka Rask,BOS,7500000,7000000
Bobby Ryan,OTT,7250000,7250000
Kris Letang,PIT,7250000,7250000
Vladimir Tarasenko,STL,7000000,7500000
Johnny Boychuk,NYI,7000000,6000000
Henrik Zetterberg,DET,7000000,6083333
Henrik Sedin,VAN,7000000,7000000
Daniel Sedin,VAN,7000000,7000000
David Clarkson,VGS,7000000,5250000
Jonathan Quick,LA,7000000,5800000
Ben Bishop,DAL,7000000,4916667
Alex Pietrangelo,STL,7000000,6500000
Pekka Rinne,NSH,7000000,7000000
Alex Steen,STL,7000000,5750000
Derek Stepan,ARI,7000000,6500000
Braden Holtby,WSH,7000000,6100000
Carey Price,MTL,7000000,6500000
Erik Karlsson,OTT,7000000,6500000
Johnny Gaudreau,CGY,6750000,6750000
