Name,Position,Age,Height,Weight,Salary,League
Aaron Hicks,CF,28,73,202,"$1,350,000.00 ",MLB
Aaron Judge,RF,25,79,282,"$544,500.00 ",MLB
Adam Jones,CF,32,74,215,"$16,329,674.00 ",MLB
Adam Liberatore,RP,30,75,240,"$535,000.00 ",MLB
Adam Warren,RP,30,73,224,"$2,290,000.00 ",MLB
Addison Russell,SS,23,72,200,"$644,000.00 ",MLB
Albert Almora Jr.,CF,23,74,190,"$552,000.00 ",MLB
Alex Avila,C,30,71,210,"$2,000,000.00 ",MLB
Alex Bregman,3B,23,72,192,"$539,400.00 ",MLB
Alex Wood,SP,26,76,215,"$2,800,000.00 ",MLB
Andre Ethier,RF,35,74,210,"$17,500,000.00 ",MLB
Andrew Toles,LF,25,70,185,"$540,000.00 ",MLB
Anthony Rizzo,1B,28,75,240,"$7,285,714.00 ",MLB
Aroldis Chapman,RP,29,76,212,"$17,200,000.00 ",MLB
Austin Barnes,C,28,70,190,"$540,000.00 ",MLB
Austin Romine,C,29,73,220,"$805,000.00 ",MLB
Ben Zobrist,2B,36,75,210,"$16,500,000.00 ",MLB
Brad Brach,RP,31,78,215,"$1,250,000.00 ",MLB
Brad Peacock,SP,29,73,208,"$541,500.00 ",MLB
Brandon McCarthy,SP,34,79,225,"$11,500,000.00 ",MLB
Brandon Morrow,RP,33,75,205,"$1,250,000.00 ",MLB
Brett Gardner,LF,34,71,195,"$12,500,000.00 ",MLB
Brian Duensing,RP,34,72,200,"$2,000,000.00 ",MLB
Brian McCann,C,33,75,225,"$17,000,000.00 ",MLB
Caleb Joseph,C,31,75,180,"$523,500.00 ",MLB
Caleb Smith,SP,26,74,205,"$535,000.00 ",MLB
Cameron Maybin,CF,30,75,215,"$9,000,000.00 ",MLB
Carl Edwards Jr.,RP,26,75,170,"$556,000.00 ",MLB
Carlos Correa,SS,23,76,218,"$535,000.00 ",MLB
CC Sabathia,SP,37,78,300,"$25,000,000.00 ",MLB
Chad Green,RP,26,75,210,"$535,000.00 ",MLB
Charlie Culberson,2B,28,72,200,"$550,000.00 ",MLB
Charlie Morton,SP,34,77,220,"$7,000,000.00 ",MLB
Chase Headley,3B,33,74,215,"$13,000,000.00 ",MLB
Chase Utley,2B,39,73,190,"$2,000,000.00 ",MLB
Chris Davis,1B,31,75,230,"$21,268,890.00 ",MLB
Chris Devenski,RP,27,75,209,"$554,500.00 ",MLB
Chris Taylor,CF,27,73,195,"$535,000.00 ",MLB
Chris Tillman,SP,29,77,200,"$6,225,000.00 ",MLB
Clayton Kershaw,SP,29,75,225,"$35,571,429.00 ",MLB
Cody Bellinger,1B,22,76,210,"$535,000.00 ",MLB
Collin McHugh,SP,30,74,192,"$3,850,000.00 ",MLB
Corey Seager,SS,23,76,215,"$575,000.00 ",MLB
Curtis Granderson,CF,36,73,199,"$15,000,000.00 ",MLB
Dallas Keuchel,SP,29,75,207,"$9,150,000.00 ",MLB
Darren O'Day,RP,35,76,220,"$5,854,712.00 ",MLB
David Paulino,SP,23,77,222,"$536,100.00 ",MLB
David Robertson,RP,32,71,195,"$12,000,000.00 ",MLB
Dellin Betances,RP,29,80,265,"$3,000,000.00 ",MLB
Derek Fisher,LF,24,75,209,"$535,000.00 ",MLB
Didi Gregorius,SS,27,75,205,"$5,100,000.00 ",MLB
Dylan Bundy,SP,25,73,200,"$1,800,000.00 ",MLB
Enrique Hernandez,CF,26,71,200,"$555,000.00 ",MLB
Evan Gattis,C,31,76,253,"$5,200,000.00 ",MLB
Francisco Liriano,RP,34,74,225,"$13,000,000.00 ",MLB
Franklin Gutierrez,LF,34,74,200,"$2,600,000.00 ",MLB
Gary Sanchez,C,25,74,230,"$557,900.00 ",MLB
George Springer,CF,28,75,221,"$3,900,000.00 ",MLB
Grant Dayton,RP,30,74,200,"$540,000.00 ",MLB
Greg Bird,1B,25,76,220,"$545,500.00 ",MLB
Hector Rondon,RP,29,75,230,"$5,800,000.00 ",MLB
Hyun Soo Kim,LF,29,74,210,"$2,800,000.00 ",MLB
Hyun-Jin Ryu,SP,30,74,255,"$7,833,333.00 ",MLB
Ian Happ,CF,23,72,205,"$535,000.00 ",MLB
J.J. Hardy,SS,35,73,200,"$12,209,424.00 ",MLB
Jacoby Ellsbury,CF,34,73,195,"$21,142,857.00 ",MLB
Jaime Garcia,SP,31,74,200,"$12,000,000.00 ",MLB
Jake Arrieta,SP,31,76,225,"$15,637,500.00 ",MLB
Jandel Gustave,RP,25,74,209,"$537,200.00 ",MLB
Jason Heyward,RF,28,77,240,"$28,166,667.00 ",MLB
Javier Baez,2B,25,72,190,"$609,000.00 ",MLB
Javier Baez,2B,25,72,190,"$609,000.00 ",MLB
Joc Pederson,CF,25,73,215,"$555,000.00 ",MLB
Joe Musgrove,RP,25,77,268,"$543,400.00 ",MLB
Joey Rickard,RF,26,73,185,"$6,225,000.00 ",MLB
John Lackey,SP,39,78,235,"$16,000,000.00 ",MLB
Jon Jay,LF,32,71,195,"$8,000,000.00 ",MLB
Jon Lester,SP,33,76,240,"$25,000,000.00 ",MLB
Jonathan Schoop,2B,26,73,195,"$523,500.00 ",MLB
Jordan Montgomery,SP,25,78,225,"$535,000.00 ",MLB
Jose Altuve,2B,27,66,164,"$4,500,000.00 ",MLB
Jose Quintana,SP,28,73,220,"$6,000,000.00 ",MLB
Jose Quintana,SP,28,73,220,"$6,000,000.00 ",MLB
Josh Fields,RP,32,72,195,"$1,050,000.00 ",MLB
Josh Ravin,SP,29,76,230,"$545,000.00 ",MLB
Josh Reddick,RF,30,74,195,"$13,000,000.00 ",MLB
Juan Centeno,C,28,69,195,"$535,000.00 ",MLB
Justin Turner,3B,33,72,205,"$12,000,000.00 ",MLB
Justin Verlander,SP,34,77,225,"$28,000,000.00 ",MLB
Ken Giles,RP,27,74,205,"$550,100.00 ",MLB
Kenley Jansen,RP,30,77,270,"$10,000,000.00 ",MLB
Kenta Maeda,SP,29,72,175,"$3,120,000.00 ",MLB
Kevin Gausman,SP,26,75,190,"$532,000.00 ",MLB
Kris Bryant,3B,25,77,215,"$1,050,000.00 ",MLB
Kyle Farmer,3B,27,72,205,"$535,000.00 ",MLB
Kyle Hendricks,SP,28,75,190,"$760,500.00 ",MLB
Kyle Schwarber,LF,24,72,235,"$565,500.00 ",MLB
Lance McCullers Jr.,SP,24,73,203,"$548,000.00 ",MLB
Leonys Martin,OF,29,74,200,"$4,850,000.00 ",MLB
Logan Forsythe,2B,30,73,205,"$5,750,000.00 ",MLB
Luis Avilan,RP,28,74,220,"$1,500,000.00 ",MLB
Luis Cessa,RP,25,72,204,"$535,000.00 ",MLB
Luis Severino,SP,23,74,215,"$550,975.00 ",MLB
Luke Gregerson,RP,33,75,210,"$6,250,000.00 ",MLB
Manny Machado,3B,25,75,185,"$5,000,000.00 ",MLB
Mark Trumbo,DH,31,76,225,"$9,150,000.00 ",MLB
Marwin Gonzalez,LF,28,73,208,"$3,725,000.00 ",MLB
Masahiro Tanaka,SP,29,75,215,"$22,000,000.00 ",MLB
Matt Holliday,DH,37,76,240,"$13,000,000.00 ",MLB
Matt Wieters,C,31,77,230,"$15,800,000.00 ",MLB
Michael Pineda,SP,28,79,260,"$7,400,000.00 ",MLB
Mike Montgomery,RP,28,77,215,"$570,500.00 ",MLB
Mike Montgomery,RP,28,77,215,"$570,500.00 ",MLB
Mike Wright,RP,27,78,215,"$510,500.00 ",MLB
Mychal Givens,RP,27,72,210,"$511,500.00 ",MLB
O'Koyea Dickson,LF,27,71,230,"$535,000.00 ",MLB
Pedro Alvarez,1B,30,75,250,"$5,731,704.00 ",MLB
Pedro Baez,RP,29,74,230,"$550,000.00 ",MLB
Pedro Strop,RP,32,73,220,"$5,500,000.00 ",MLB
Pedro Strop,RP,32,73,220,"$5,500,000.00 ",MLB
Rich Hill,SP,37,77,220,"$12,000,000.00 ",MLB
Ronald Torreyes,2B,25,68,151,"$561,900.00 ",MLB
Ross Stripling,RP,28,75,190,"$540,000.00 ",MLB
Ryan Flaherty,SS,31,75,220,"$1,500,000.00 ",MLB
Scott Kazmir,SP,33,72,185,"$17,666,667.00 ",MLB
Sonny Gray,SP,28,70,190,"$3,575,000.00 ",MLB
Starlin Castro,SS,27,74,230,"$9,860,000.00 ",MLB
Todd Frazier,3B,31,75,220,"$12,000,000.00 ",MLB
Tommy Kahnle,RP,28,73,235,"$535,000.00 ",MLB
Tommy La Stella,2B,28,71,173,"$573,500.00 ",MLB
Tony Cingrani,RP,28,76,214,"$1,825,000.00 ",MLB
Tony Watson,RP,32,76,225,"$5,600,000.00 ",MLB
Ubaldo Jimenez,SP,33,77,210,"$12,673,102.00 ",MLB
Wade Davis,RP,32,77,225,"$10,000,000.00 ",MLB
Will Harris,RP,33,76,249,"$2,200,000.00 ",MLB
Willson Contreras,C,25,73,212,"$554,500.00 ",MLB
Willson Contreras,C,25,73,212,"$554,500.00 ",MLB
Yasiel Puig,RF,27,74,255,"$6,500,000.00 ",MLB
Yasmani Grandal,C,29,74,225,"$5,500,000.00 ",MLB
Yimi Garcia,RP,27,73,210,"$555,000.00 ",MLB
Yovani Gallardo,SP,31,74,205,"$8,728,776.00 ",MLB
Yu Darvish,SP,31,77,216,"$11,000,000.00 ",MLB
Yuli Gurriel,1B,33,72,202,"$14,000,000.00 ",MLB
Zach Britton,RP,30,75,195,"$6,750,000.00 ",MLB
Quincy Acy,F,27,79,240,"$1,709,538.00 ",NBA
Steven Adams,C,24,84,255,"$22,471,910.00 ",NBA
Bam Adebayo,F/C,20,82,260,"$2,490,360.00 ",NBA
Alexis Ajinca,F/C,29,86,248,"$4,961,798.00 ",NBA
Cole Aldrich,C,29,83,253,"$7,300,000.00 ",NBA
LaMarcus Aldridge,F/C,32,83,260,"$21,461,010.00 ",NBA
Cliff Alexander,PF,22,80,245,"$874,636.00 ",NBA
Jarrett Allen,F/C,19,83,234,"$1,713,720.00 ",NBA
Al-Farouq Aminu,F,27,81,220,"$7,319,035.00 ",NBA
Justin Anderson,SF,24,78,230,"$1,579,440.00 ",NBA
Kyle Anderson,G/F,24,81,230,"$2,151,704.00 ",NBA
Ryan Anderson,F/C,29,82,240,"$19,578,455.00 ",NBA
Ike Anigbogu,C,19,82,250,"$950,000.00 ",NBA
Giannis Antetokounmpo,F,23,83,222,"$22,471,910.00 ",NBA
Carmelo Anthony,F,33,80,240,"$26,243,760.00 ",NBA
OG Anunoby,F,20,80,232,"$1,645,200.00 ",NBA
Trevor Ariza,G/F,32,80,215,"$7,420,912.00 ",NBA
Darrell Arthur,F/C,29,81,235,"$7,464,912.00 ",NBA
Omer Asik,F/C,31,84,255,"$10,595,505.00 ",NBA
D.J. Augustin,PG,30,72,183,"$7,250,000.00 ",NBA
Dwayne Bacon,SG,22,79,221,"$815,615.00 ",NBA
Ron Baker,G,24,76,220,"$4,328,000.00 ",NBA
Lonzo Ball,PG,20,78,190,"$6,286,560.00 ",NBA
